code_id,threshold,synthetic_recoveries,synthetic_trials,synthetic_recovery_fraction,background_events,exposure_hours,false_events_per_hour,engineering_check_only
sync8_c0,0.9150000000000005,694,2563,0.27077643386656264,0,177.1327777777778,0.0,True
sync8_c0,0.9200000000000004,606,2563,0.23644166991806476,0,177.1327777777778,0.0,True
sync8_c0,0.9250000000000005,526,2563,0.2052282481467031,0,177.1327777777778,0.0,True
sync8_c0,0.9300000000000004,429,2563,0.16738197424892703,0,177.1327777777778,0.0,True
sync8_c0,0.9350000000000005,341,2563,0.13304721030042918,0,177.1327777777778,0.0,True
sync8_c0,0.9400000000000004,270,2563,0.10534529847834569,0,177.1327777777778,0.0,True
sync8_c0,0.9450000000000005,199,2563,0.07764338665626219,0,177.1327777777778,0.0,True
sync8_c0,0.9500000000000004,141,2563,0.05501365587202497,0,177.1327777777778,0.0,True
iso8_matched,0.45,2436,2563,0.9504486929379633,9567,177.1327777777778,54.01033123300474,True
iso8_matched,0.455,2432,2563,0.9488880218493952,8984,177.1327777777778,50.71901492602849,True
iso8_matched,0.46,2430,2563,0.9481076863051112,8442,177.1327777777778,47.659163402218674,True
iso8_matched,0.465,2426,2563,0.9465470152165432,7921,177.1327777777778,44.71786701125019,True
iso8_matched,0.47000000000000003,2423,2563,0.9453765119001171,7433,177.1327777777778,41.9628715433181,True
iso8_matched,0.47500000000000003,2423,2563,0.9453765119001171,6979,177.1327777777778,39.39982248093865,True
iso8_matched,0.48000000000000004,2420,2563,0.944206008583691,6477,177.1327777777778,36.565790257779,True
iso8_matched,0.48500000000000004,2416,2563,0.9426453374951229,6006,177.1327777777778,33.90676799262324,True
iso8_matched,0.49000000000000005,2413,2563,0.9414748341786968,5605,177.1327777777778,31.642929503605266,True
iso8_matched,0.49500000000000005,2412,2563,0.9410846664065549,5213,177.1327777777778,29.429900357233585,True
iso8_matched,0.5,2406,2563,0.9387436597737027,4820,177.1327777777778,27.211225728345653,True
iso8_matched,0.5050000000000001,2402,2563,0.9371829886851346,4489,177.1327777777778,25.342571015465484,True
iso8_matched,0.51,2401,2563,0.9367928209129925,4170,177.1327777777778,23.541662092780367,True
iso8_matched,0.5150000000000001,2399,2563,0.9360124853687085,3869,177.1327777777778,21.842371855387828,True
iso8_matched,0.52,2398,2563,0.9356223175965666,3564,177.1327777777778,20.12049968793027,True
iso8_matched,0.5250000000000001,2397,2563,0.9352321498244245,3304,177.1327777777778,18.652674233704158,True
iso8_matched,0.53,2392,2563,0.9332813109637144,3047,177.1327777777778,17.201785227026807,True
iso8_matched,0.5350000000000001,2391,2563,0.9328911431915724,2777,177.1327777777778,15.677504947638148,True
iso8_matched,0.54,2389,2563,0.9321108076472884,2549,177.1327777777778,14.390334933932172,True
iso8_matched,0.5450000000000002,2387,2563,0.9313304721030042,2345,177.1327777777778,13.238656500616298,True
iso8_matched,0.55,2386,2563,0.9309403043308623,2149,177.1327777777778,12.132141927430458,True
iso8_matched,0.5550000000000002,2383,2563,0.9297698010144362,1975,177.1327777777778,11.149827969602212,True
iso8_matched,0.56,2378,2563,0.9278189621537261,1806,177.1327777777778,10.195741424355239,True
iso8_matched,0.5650000000000002,2377,2563,0.9274287943815841,1663,177.1327777777778,9.388437424530876,True
iso8_matched,0.5700000000000001,2373,2563,0.925868123293016,1531,177.1327777777778,8.64323373238531,True
iso8_matched,0.5750000000000002,2368,2563,0.9239172844323059,1366,177.1327777777778,7.711729117203353,True
iso8_matched,0.5800000000000001,2361,2563,0.9211861100273118,1234,177.1327777777778,6.966525425057787,True
iso8_matched,0.5850000000000002,2360,2563,0.9207959422551697,1101,177.1327777777778,6.215676250395967,True
iso8_matched,0.5900000000000001,2357,2563,0.9196254389387437,1000,177.1327777777778,5.645482516254285,True
iso8_matched,0.5950000000000002,2352,2563,0.9176746000780336,890,177.1327777777778,5.0244794394663135,True
iso8_matched,0.6000000000000001,2349,2563,0.9165040967616075,791,177.1327777777778,4.465576670357139,True
iso8_matched,0.6050000000000002,2346,2563,0.9153335934451814,692,177.1327777777778,3.906673901247965,True
iso8_matched,0.6100000000000001,2343,2563,0.9141630901287554,605,177.1327777777778,3.4155169223338424,True
iso8_matched,0.6150000000000002,2342,2563,0.9137729223566133,538,177.1327777777778,3.037269593744805,True
iso8_matched,0.6200000000000001,2338,2563,0.9122122512680453,480,177.1327777777778,2.7098316078020566,True
iso8_matched,0.6250000000000002,2329,2563,0.9087007413187671,422,177.1327777777778,2.382393621859308,True
iso8_matched,0.6300000000000001,2323,2563,0.9063597346859149,372,177.1327777777778,2.100119496046594,True
iso8_matched,0.6350000000000002,2312,2563,0.9020678891923527,336,177.1327777777778,1.8968821254614396,True
iso8_matched,0.6400000000000001,2306,2563,0.8997268825595006,288,177.1327777777778,1.625898964681234,True
iso8_matched,0.6450000000000002,2299,2563,0.8969957081545065,252,177.1327777777778,1.4226615940960798,True
iso8_matched,0.6500000000000001,2296,2563,0.8958252048380804,226,177.1327777777778,1.2758790486734684,True
iso8_matched,0.6550000000000002,2293,2563,0.8946547015216543,202,177.1327777777778,1.1403874682833655,True
iso8_matched,0.6600000000000001,2285,2563,0.8915333593445182,177,177.1327777777778,0.9992504053770084,True
